"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_PCAF_PATHWAY",9,0.333333333333333,0.444444444444444,"Up",0.2704,0.39711976744186,0.0231,0.073526582278481
"BIOCARTA_PLCE_PATHWAY",11,0.181818181818182,0.0909090909090909,"Down",0.2711,0.39711976744186,0.0167,0.063875
"BIOCARTA_FREE_PATHWAY",8,0.125,0.25,"Up",0.2753,0.39878275862069,0.0989,0.147397633136095
"BIOCARTA_RACCYCD_PATHWAY",25,0.2,0.4,"Up",0.2754,0.39878275862069,0.0258,0.0745862068965517
"BIOCARTA_MEF2D_PATHWAY",15,0.0666666666666667,0.133333333333333,"Up",0.2847,0.408363934426229,0.0617,0.1134
"BIOCARTA_RB_PATHWAY",12,0.333333333333333,0.25,"Down",0.2871,0.408363934426229,0.0024,0.0266
"BIOCARTA_PTC1_PATHWAY",11,0.272727272727273,0.272727272727273,"Down",0.2924,0.408363934426229,0.0028,0.0266
"BIOCARTA_NEUTROPHIL_PATHWAY",8,0.125,0.375,"Up",0.2936,0.408363934426229,0.0311,0.0806659793814433
"BIOCARTA_IGF1_PATHWAY",22,0.0454545454545455,0.272727272727273,"Up",0.2951,0.408363934426229,0.1263,0.170133689839572
"BIOCARTA_IL12_PATHWAY",19,0.157894736842105,0.210526315789474,"Up",0.2962,0.408363934426229,0.0227,0.0735
"BIOCARTA_INSULIN_PATHWAY",23,0.0434782608695652,0.260869565217391,"Up",0.2964,0.408363934426229,0.1324,0.173709375
"BIOCARTA_CDK5_PATHWAY",12,0.166666666666667,0.333333333333333,"Up",0.2965,0.408363934426229,0.0504,0.1007
"BIOCARTA_EDG1_PATHWAY",20,0.1,0.25,"Up",0.2966,0.408363934426229,0.1673,0.204597087378641
"BIOCARTA_LYMPHOCYTE_PATHWAY",9,0.222222222222222,0.444444444444444,"Up",0.3075,0.421072826086957,0.015,0.0606
"BIOCARTA_DNAFRAGMENT_PATHWAY",10,0.4,0.3,"Down",0.3119,0.42479027027027,2e-04,0.0171818181818182
"BIOCARTA_CREM_PATHWAY",6,0,0.166666666666667,"Up",0.3172,0.429687096774193,0.6697,0.680450806451613
"BIOCARTA_CK1_PATHWAY",15,0.133333333333333,0.2,"Up",0.3212,0.432779679144385,0.0171,0.063875
"BIOCARTA_PTDINS_PATHWAY",15,0,0.133333333333333,"Up",0.3261,0.437045744680851,0.7153,0.723867469879518
"BIOCARTA_AMAN_PATHWAY",9,0.111111111111111,0.222222222222222,"Up",0.3292,0.438866666666667,0.2361,0.275391666666667
"BIOCARTA_EPO_PATHWAY",20,0.1,0.3,"Up",0.3367,0.446504210526316,0.0317,0.0813857142857143
"BIOCARTA_IRES_PATHWAY",6,0.333333333333333,0.166666666666667,"Down",0.3504,0.462241884816754,0.0822,0.136952941176471
"BIOCARTA_CASPASE_PATHWAY",22,0.318181818181818,0.272727272727273,"Down",0.3527,0.462674611398964,0.0046,0.03276
"BIOCARTA_HSWI_SNF_PATHWAY",10,0.1,0.3,"Up",0.3544,0.462674611398964,0.0262,0.0748840909090909
"BIOCARTA_HES_PATHWAY",12,0.166666666666667,0,"Down",0.3628,0.471201030927835,0.0891,0.141135849056604
"BIOCARTA_TGFB_PATHWAY",17,0.117647058823529,0.235294117647059,"Up",0.3695,0.477443076923077,0.0428,0.0945
"BIOCARTA_NKCELLS_PATHWAY",17,0.117647058823529,0.294117647058824,"Up",0.3722,0.478478571428571,0.0329,0.0833823529411765
"BIOCARTA_EEA1_PATHWAY",6,0.166666666666667,0.166666666666667,"Up",0.3752,0.47988730964467,0.0679,0.117918620689655
"BIOCARTA_ACE2_PATHWAY",13,0.0769230769230769,0.153846153846154,"Up",0.3883,0.494136363636364,0.1387,0.177359390862944
"BIOCARTA_ERAD_PATHWAY",14,0.214285714285714,0,"Down",0.4043,0.511914572864322,0.0282,0.0782307692307692
"BIOCARTA_PRC2_PATHWAY",10,0.3,0.3,"Down",0.4092,0.515529,4e-04,0.0171818181818182
"BIOCARTA_INFLAM_PATHWAY",23,0.0434782608695652,0,"Up",0.4513,0.565746268656716,0.972,0.972
"BIOCARTA_MONOCYTE_PATHWAY",11,0.272727272727273,0.363636363636364,"Up",0.4743,0.591638613861386,0.0028,0.0266
"BIOCARTA_FAS_PATHWAY",28,0.25,0.285714285714286,"Up",0.4817,0.595102941176471,0.0023,0.0266
"BIOCARTA_CHREBP_PATHWAY",10,0,0.2,"Up",0.4818,0.595102941176471,0.4003,0.438490909090909
"BIOCARTA_TH1TH2_PATHWAY",18,0.166666666666667,0.222222222222222,"Up",0.4876,0.599111650485437,0.0159,0.062409375
"BIOCARTA_SUMO_PATHWAY",6,0,0.333333333333333,"Up",0.4898,0.599111650485437,0.2252,0.265129906542056
"BIOCARTA_P35ALZHEIMERS_PATHWAY",6,0.166666666666667,0.333333333333333,"Up",0.5168,0.629086956521739,0.0039,0.0321096774193548
"BIOCARTA_AGPCR_PATHWAY",10,0.1,0.2,"Up",0.5211,0.631272115384615,0.2102,0.249800943396226
"BIOCARTA_RECK_PATHWAY",9,0,0.111111111111111,"Up",0.5366,0.646940669856459,0.2339,0.274093953488372
"BIOCARTA_ARAP_PATHWAY",12,0.0833333333333333,0.25,"Up",0.5422,0.65058,0.3366,0.380655605381166
"BIOCARTA_MTA3_PATHWAY",18,0.111111111111111,0.0555555555555556,"Down",0.5763,0.68389014084507,0.2484,0.288406451612903
"BIOCARTA_STEM_PATHWAY",14,0.142857142857143,0,"Down",0.5768,0.68389014084507,0.6416,0.65988
"BIOCARTA_CFTR_PATHWAY",9,0,0.111111111111111,"Up",0.5781,0.68389014084507,0.3529,0.395192
"BIOCARTA_SRCRPTP_PATHWAY",10,0.3,0.3,"Down",0.6014,0.70518976744186,0.0017,0.0266
"BIOCARTA_TNFR1_PATHWAY",28,0.214285714285714,0.214285714285714,"Up",0.6017,0.70518976744186,0.0118,0.0519473684210526
"BIOCARTA_FIBRINOLYSIS_PATHWAY",11,0.181818181818182,0.272727272727273,"Up",0.6192,0.721916129032258,0.0956,0.145930909090909
"BIOCARTA_MPR_PATHWAY",18,0.111111111111111,0.333333333333333,"Up",0.6217,0.721916129032258,0.0089,0.0495957446808511
"BIOCARTA_BARRESTIN_SRC_PATHWAY",17,0.176470588235294,0.176470588235294,"Up",0.6333,0.73201376146789,0.1537,0.193599
"BIOCARTA_EIF2_PATHWAY",9,0.333333333333333,0.222222222222222,"Down",0.6369,0.732813698630137,0.002,0.0266
"BIOCARTA_EPHA4_PATHWAY",9,0.333333333333333,0.111111111111111,"Down",0.6467,0.740708181818182,0.0109,0.0510872727272727
"BIOCARTA_DSP_PATHWAY",9,0.111111111111111,0.222222222222222,"Up",0.653,0.744540271493213,0.1198,0.162377419354839
"BIOCARTA_PPARG_PATHWAY",7,0.285714285714286,0.428571428571429,"Up",0.6774,0.768883783783784,0.0112,0.0510872727272727
"BIOCARTA_NPP1_PATHWAY",10,0.2,0.1,"Down",0.6841,0.773007174887892,0.3471,0.39043125
"BIOCARTA_ATRBRCA_PATHWAY",19,0.263157894736842,0.157894736842105,"Down",0.6876,0.77308,0.0066,0.0423230769230769
"BIOCARTA_PITX2_PATHWAY",15,0.0666666666666667,0.133333333333333,"Down",0.6903,0.77308,0.1062,0.151413559322034
"BIOCARTA_REELIN_PATHWAY",7,0.285714285714286,0.142857142857143,"Down",0.6977,0.774927753303965,0.0071,0.044415
"BIOCARTA_P27_PATHWAY",11,0.272727272727273,0.181818181818182,"Down",0.6981,0.774927753303965,0.0258,0.0745862068965517
"BIOCARTA_ETS_PATHWAY",17,0.235294117647059,0.235294117647059,"Up",0.7302,0.807007894736842,0.0024,0.0266
"BIOCARTA_TEL_PATHWAY",17,0.117647058823529,0.176470588235294,"Up",0.7357,0.809536244541485,0.0074,0.0447
"BIOCARTA_NDKDYNAMIN_PATHWAY",13,0.230769230769231,0.230769230769231,"Up",0.7595,0.832093043478261,0.0484,0.0994682926829268
"BIOCARTA_LECTIN_PATHWAY",10,0,0.1,"Up",0.806,0.879218181818182,0.5524,0.575174380165289
"BIOCARTA_INTRINSIC_PATHWAY",23,0.0869565217391304,0.130434782608696,"Up",0.8242,0.895197413793104,0.662,0.67534979757085
"BIOCARTA_CPSF_PATHWAY",6,0.166666666666667,0,"Down",0.8318,0.898070338983051,0.0642,0.11630071942446
"BIOCARTA_CTBP1_PATHWAY",8,0,0,"Up",0.8385,0.898070338983051,0.4355,0.468946153846154
"BIOCARTA_SAM68_PATHWAY",6,0.166666666666667,0.333333333333333,"Down",0.8411,0.898070338983051,0.0177,0.063875
"BIOCARTA_MRP_PATHWAY",5,0.2,0.2,"Up",0.8411,0.898070338983051,0.0195,0.065688
