"","TargetName","Module","CodeClass","GeneID","SystematicName","Negative","genes_lowCount_overNsamples","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Etfbkmt","Etfbkmt","Mm_R_NGS_WTA_v1.0","Endogenous","320204","Etfbkmt",FALSE,FALSE,-0.175633360789918,4.98137516562016,-1.17777377875079,0.251817771224647,0.62262053095834,-5.74218341446216
"Grb14","Grb14","Mm_R_NGS_WTA_v1.0","Endogenous","50915","Grb14",FALSE,FALSE,-0.183466931632009,3.65630106473511,-1.17586787447305,0.251863203099158,0.622639147714492,-5.57568506256041
"Mdn1","Mdn1","Mm_R_NGS_WTA_v1.0","Endogenous","100019","Mdn1",FALSE,FALSE,-0.16235713669514,4.10165250604292,-1.1757856770287,0.251895393257022,0.622639147714492,-5.65825088658155
"Zbtb10","Zbtb10","Mm_R_NGS_WTA_v1.0","Endogenous","229055","Zbtb10",FALSE,FALSE,0.150439377491621,5.24289250815548,1.17568410990331,0.251935173197064,0.622639147714492,-5.75907752616057
"Pgghg","Pgghg","Mm_R_NGS_WTA_v1.0","Endogenous","212974","Pgghg",FALSE,FALSE,-0.149847184224248,4.85095797826575,-1.1756461052232,0.251950059371721,0.622639147714492,-5.73839997838416
"Cpsf2","Cpsf2","Mm_R_NGS_WTA_v1.0","Endogenous","51786","Cpsf2",FALSE,FALSE,-0.139762078766281,5.1929431433233,-1.17545686372024,0.252024193725573,0.622745262946357,-5.75544973020128
"Trim58","Trim58","Mm_R_NGS_WTA_v1.0","Endogenous","216781","Trim58",FALSE,FALSE,-0.180363134902884,3.58801534181418,-1.17530946942703,0.25208194590096,0.62281087698278,-5.56073968173956
"Snapc1","Snapc1","Mm_R_NGS_WTA_v1.0","Endogenous","75627","Snapc1",FALSE,FALSE,0.166107731946937,5.25600749623079,1.17540461671565,0.252137130901719,0.622870132927982,-5.75965793674886
"Triqk","Triqk","Mm_R_NGS_WTA_v1.0","Endogenous","208820","Triqk",FALSE,FALSE,0.206096203910965,3.88805820306509,1.17879567409736,0.252191451628727,0.622927239404142,-5.62665247413278
"Tmcc2","Tmcc2","Mm_R_NGS_WTA_v1.0","Endogenous","68875","Tmcc2",FALSE,FALSE,-0.158061343382602,3.9742400333845,-1.17484630397583,0.252263487927324,0.623028084806777,-5.64198479311317
"Bex1","Bex1","Mm_R_NGS_WTA_v1.0","Endogenous","19716","Bex1",FALSE,FALSE,0.159146763128736,3.64222259378496,1.17441081189119,0.252434271824875,0.623372757105391,-5.58166584153535
