"","NGenes","PropDown","PropUp","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed"
"BIOCARTA_IFNA_PATHWAY",9,0,0.555555555555556,"Up",9e-04,0.05355,0.0155,0.061621875
"BIOCARTA_CCR5_PATHWAY",16,0.0625,0.3125,"Up",0.2578,0.384337278106509,0.0157,0.061621875
"BIOCARTA_CD40_PATHWAY",14,0.0714285714285714,0.285714285714286,"Up",0.003,0.0826,0.0173,0.0652135135135135
"BIOCARTA_IFNG_PATHWAY",6,0,0.666666666666667,"Up",0.0187,0.17761935483871,0.0188,0.0652135135135135
"BIOCARTA_TNFR2_PATHWAY",17,0.117647058823529,0.352941176470588,"Up",0.0275,0.188668421052632,0.0192,0.0652135135135135
"BIOCARTA_IL22BP_PATHWAY",9,0,0.444444444444444,"Up",0.036,0.196607547169811,0.019,0.0652135135135135
"BIOCARTA_CARM1_PATHWAY",11,0.0909090909090909,0.363636363636364,"Up",0.0779,0.229876744186047,0.0187,0.0652135135135135
"BIOCARTA_PLCE_PATHWAY",11,0.181818181818182,0.0909090909090909,"Down",0.2798,0.40284,0.0189,0.0652135135135135
"BIOCARTA_LYMPHOCYTE_PATHWAY",9,0.222222222222222,0.444444444444444,"Up",0.2956,0.409223076923077,0.0182,0.0652135135135135
"BIOCARTA_TH1TH2_PATHWAY",18,0.166666666666667,0.222222222222222,"Up",0.4911,0.600701941747573,0.0169,0.0652135135135135
"BIOCARTA_MRP_PATHWAY",5,0.2,0.2,"Up",0.8399,0.902234745762712,0.0184,0.0652135135135135
"BIOCARTA_SAM68_PATHWAY",6,0.166666666666667,0.333333333333333,"Down",0.845,0.902234745762712,0.0188,0.0652135135135135
"BIOCARTA_RAC1_PATHWAY",21,0.0952380952380952,0.380952380952381,"Up",0.0115,0.1603,0.0198,0.06636
"BIOCARTA_CERAMIDE_PATHWAY",22,0.181818181818182,0.318181818181818,"Up",0.206,0.341443421052632,0.0212,0.0698727272727273
"BIOCARTA_AKAPCENTROSOME_PATHWAY",12,0.0833333333333333,0.333333333333333,"Up",0.2338,0.363611111111111,0.0214,0.0698727272727273
"BIOCARTA_TERT_PATHWAY",7,0,0.285714285714286,"Up",0.0125,0.165126315789474,0.0222,0.0706556962025316
"BIOCARTA_RACCYCD_PATHWAY",25,0.2,0.4,"Up",0.273,0.397044827586207,0.0222,0.0706556962025316
"BIOCARTA_RHO_PATHWAY",20,0.1,0.55,"Up",0.0319,0.196607547169811,0.0226,0.0710325
"BIOCARTA_GCR_PATHWAY",16,0.0625,0.3125,"Up",0.0149,0.17761935483871,0.024,0.07275
"BIOCARTA_PCAF_PATHWAY",9,0.333333333333333,0.444444444444444,"Up",0.2726,0.397044827586207,0.0242,0.07275
"BIOCARTA_IL12_PATHWAY",19,0.157894736842105,0.210526315789474,"Up",0.2863,0.407542372881356,0.0241,0.07275
"BIOCARTA_HSWI_SNF_PATHWAY",10,0.1,0.3,"Up",0.3623,0.470551546391753,0.0243,0.07275
"BIOCARTA_EIF4_PATHWAY",21,0.0476190476190476,0.476190476190476,"Up",0.0822,0.2303,0.0247,0.07308
