"","NGenes","Direction","PValue","FDR"
"BIOCARTA_GSK3_PATHWAY",21,"Up",0.398412267554325,0.587133867974794
"BIOCARTA_EPONFKB_PATHWAY",11,"Up",0.40314299420636,0.590651363604667
"BIOCARTA_BBCELL_PATHWAY",6,"Up",0.409061863947497,0.595858900085372
"BIOCARTA_TCAPOPTOSIS_PATHWAY",9,"Up",0.419379882608712,0.607377761019514
"BIOCARTA_TOB1_PATHWAY",19,"Up",0.426617315992912,0.609665877755213
"BIOCARTA_CDK5_PATHWAY",12,"Up",0.431413616052223,0.609665877755213
"BIOCARTA_EEA1_PATHWAY",6,"Up",0.43251055071024,0.609665877755213
"BIOCARTA_ACE2_PATHWAY",13,"Up",0.432762577706322,0.609665877755213
"BIOCARTA_HSP27_PATHWAY",14,"Up",0.433056317929298,0.609665877755213
"BIOCARTA_ERBB3_PATHWAY",6,"Up",0.444763865770001,0.622669412078001
"BIOCARTA_CSK_PATHWAY",16,"Up",0.455686931426774,0.632041390727675
"BIOCARTA_IL5_PATHWAY",8,"Up",0.456474337747765,0.632041390727675
"BIOCARTA_BAD_PATHWAY",24,"Up",0.477516136736581,0.656875913416432
"BIOCARTA_TUBBY_PATHWAY",5,"Up",0.479623682811998,0.656875913416432
"BIOCARTA_NKCELLS_PATHWAY",17,"Up",0.487573084017061,0.663496742100675
"BIOCARTA_MTA3_PATHWAY",18,"Down",0.491486857012862,0.663496742100675
"BIOCARTA_TCRA_PATHWAY",9,"Up",0.492356709415977,0.663496742100675
"BIOCARTA_AKT_PATHWAY",21,"Up",0.495549696464801,0.664247465474095
"BIOCARTA_LYMPHOCYTE_PATHWAY",9,"Up",0.498352210613105,0.664469614150806
"BIOCARTA_PLC_PATHWAY",9,"Up",0.516143335626247,0.684569055672706
"BIOCARTA_PTDINS_PATHWAY",15,"Up",0.526585640844989,0.694762206769306
"BIOCARTA_MEF2D_PATHWAY",15,"Up",0.541406982692749,0.704361570424568
"BIOCARTA_EIF2_PATHWAY",9,"Down",0.547901071953055,0.704361570424568
"BIOCARTA_CHREBP_PATHWAY",10,"Up",0.552042537004786,0.704361570424568
"BIOCARTA_SRCRPTP_PATHWAY",10,"Down",0.554288676178542,0.704361570424568
"BIOCARTA_P27_PATHWAY",11,"Down",0.554297907840982,0.704361570424568
"BIOCARTA_EDG1_PATHWAY",20,"Up",0.554783733261575,0.704361570424568
"BIOCARTA_HDAC_PATHWAY",24,"Up",0.554841193687708,0.704361570424568
"BIOCARTA_CELL2CELL_PATHWAY",9,"Up",0.556222033787655,0.704361570424568
"BIOCARTA_CREM_PATHWAY",6,"Up",0.568986670170329,0.716923204414615
"BIOCARTA_IL12_PATHWAY",19,"Up",0.573866245791239,0.718390800647826
"BIOCARTA_SHH_PATHWAY",15,"Up",0.575852943376432,0.718390800647826
"BIOCARTA_ATRBRCA_PATHWAY",19,"Down",0.58329481537099,0.722724876762805
"BIOCARTA_NPP1_PATHWAY",10,"Down",0.587109513592512,0.722724876762805
"BIOCARTA_PITX2_PATHWAY",15,"Down",0.592520432487289,0.722724876762805
"BIOCARTA_STEM_PATHWAY",14,"Down",0.592544792360134,0.722724876762805
"BIOCARTA_ERBB4_PATHWAY",7,"Up",0.593666863055161,0.722724876762805
"BIOCARTA_ARAP_PATHWAY",12,"Up",0.612271977803696,0.741791050031401
"BIOCARTA_ATM_PATHWAY",19,"Down",0.621794681215774,0.749723730461124
"BIOCARTA_MPR_PATHWAY",18,"Up",0.647424635956331,0.776909563147597
"BIOCARTA_EPHA4_PATHWAY",9,"Down",0.670930681916814,0.797845764711313
"BIOCARTA_REELIN_PATHWAY",7,"Down",0.674261119907383,0.797845764711313
"BIOCARTA_MONOCYTE_PATHWAY",11,"Up",0.674369634458371,0.797845764711313
"BIOCARTA_CHEMICAL_PATHWAY",18,"Down",0.685318644191285,0.803599657502743
"BIOCARTA_RECK_PATHWAY",9,"Up",0.68561081890115,0.803599657502743
"BIOCARTA_CK1_PATHWAY",15,"Up",0.698288615132962,0.814670050988456
"BIOCARTA_TNFR1_PATHWAY",28,"Up",0.703416266283758,0.816870502781139
"BIOCARTA_ERYTH_PATHWAY",15,"Up",0.709285635442724,0.81990816574113
"BIOCARTA_TH1TH2_PATHWAY",18,"Up",0.739681926884333,0.851140847373753
"BIOCARTA_DSP_PATHWAY",9,"Up",0.747178773296707,0.855859322139865
"BIOCARTA_TSP1_PATHWAY",7,"Down",0.751218995859841,0.856593606138823
"BIOCARTA_ACH_PATHWAY",14,"Up",0.756610849185155,0.858742117750972
"BIOCARTA_CPSF_PATHWAY",6,"Down",0.762940726007975,0.858742117750972
"BIOCARTA_P35ALZHEIMERS_PATHWAY",6,"Up",0.763326326889753,0.858742117750972
"BIOCARTA_AGPCR_PATHWAY",10,"Up",0.778953831257213,0.872428291008078
"BIOCARTA_FAS_PATHWAY",28,"Up",0.783718237811718,0.873880512958199
"BIOCARTA_CFTR_PATHWAY",9,"Up",0.795836433242413,0.87977920464025
"BIOCARTA_S1P_PATHWAY",6,"Down",0.795990708960226,0.87977920464025
"BIOCARTA_PPARG_PATHWAY",7,"Up",0.813912324757176,0.892140946340334
"BIOCARTA_VOBESITY_PATHWAY",8,"Down",0.814255625628083,0.892140946340334
"BIOCARTA_PS1_PATHWAY",14,"Down",0.820052288765062,0.894602496834613
"BIOCARTA_BCELLSURVIVAL_PATHWAY",16,"Down",0.826909193090512,0.898194468356936
"BIOCARTA_MITOCHONDRIA_PATHWAY",19,"Down",0.83845458051885,0.906826413265022
"BIOCARTA_BARR_MAPK_PATHWAY",14,"Down",0.843435180728914,0.908314810015754
"BIOCARTA_ACETAMINOPHEN_PATHWAY",5,"Down",0.861788140930546,0.914637146918621
"BIOCARTA_G1_PATHWAY",26,"Down",0.866876767149427,0.914637146918621
"BIOCARTA_BTG2_PATHWAY",10,"Down",0.867842612126969,0.914637146918621
"BIOCARTA_CB1R_PATHWAY",7,"Down",0.868429026190638,0.914637146918621
"BIOCARTA_SAM68_PATHWAY",6,"Down",0.869158373308302,0.914637146918621
"BIOCARTA_ARF_PATHWAY",16,"Down",0.873551129767509,0.914637146918621
"BIOCARTA_NDKDYNAMIN_PATHWAY",13,"Up",0.874712509553125,0.914637146918621
"BIOCARTA_FIBRINOLYSIS_PATHWAY",11,"Up",0.891127187507372,0.927950625007676
"BIOCARTA_PLATELETAPP_PATHWAY",13,"Down",0.919050902698031,0.95308982502018
"BIOCARTA_ETS_PATHWAY",17,"Up",0.943620269599055,0.974558639094106
"BIOCARTA_INTRINSIC_PATHWAY",23,"Down",0.950219313406288,0.977368436646468
"BIOCARTA_LECTIN_PATHWAY",10,"Down",0.96115028307783,0.97835778501
"BIOCARTA_BARRESTIN_SRC_PATHWAY",17,"Up",0.96470488882038,0.97835778501
"BIOCARTA_MRP_PATHWAY",5,"Down",0.966226861548218,0.97835778501
"BIOCARTA_MSP_PATHWAY",6,"Down",0.966710668521785,0.97835778501
"BIOCARTA_INFLAM_PATHWAY",23,"Up",0.972181298641752,0.979958749030886
"BIOCARTA_TEL_PATHWAY",17,"Down",0.986711538345854,0.98819750123993
"BIOCARTA_CTBP1_PATHWAY",8,"Up",0.98819750123993,0.98819750123993
